Image1,Image2,Similarity
subject01_centerlight.gif,subject01_glasses.gif,0.7477465661417436
subject01_centerlight.gif,subject01_happy.gif,0.7421081062105886
subject01_centerlight.gif,subject01_leftlight.gif,0.7628717445237658
subject01_centerlight.gif,subject01_noglasses.gif,0.7516424114670877
subject01_centerlight.gif,subject01_normal.gif,0.7488899363132336
subject01_centerlight.gif,subject01_rightlight.gif,0.7319349959380906
subject01_centerlight.gif,subject01_sad.gif,0.754951920943227
subject01_centerlight.gif,subject01_sleepy.gif,0.7479931996641168
subject01_centerlight.gif,subject01_surprised.gif,0.7500980324408708
subject01_centerlight.gif,subject01_wink.gif,0.7489852848742046
subject01_centerlight.gif,subject02_centerlight.gif,0.7633927887200013
subject01_centerlight.gif,subject02_glasses.gif,0.7421705562724559
subject01_centerlight.gif,subject02_happy.gif,0.7427776178095531
subject01_centerlight.gif,subject02_leftlight.gif,0.7605806024220748
subject01_centerlight.gif,subject02_noglasses.gif,0.74601325287137
subject01_centerlight.gif,subject02_normal.gif,0.74601325287137
subject01_centerlight.gif,subject02_rightlight.gif,0.758179270543305
subject01_centerlight.gif,subject02_sad.gif,0.7427200681940802
subject01_centerlight.gif,subject02_sleepy.gif,0.7452519747233497
subject01_centerlight.gif,subject02_surprised.gif,0.746165367238746
subject01_centerlight.gif,subject02_wink.gif,0.7421667984332063
subject01_centerlight.gif,subject03_centerlight.gif,0.7746932393554713
subject01_centerlight.gif,subject03_glasses.gif,0.7697038786541827
subject01_centerlight.gif,subject03_happy.gif,0.7750667572404681
subject01_centerlight.gif,subject03_leftlight.gif,0.7588657911062763
subject01_centerlight.gif,subject03_noglasses.gif,0.7718440335645934
subject01_centerlight.gif,subject03_normal.gif,0.7718440335645934
subject01_centerlight.gif,subject03_rightlight.gif,0.7529843049108709
subject01_centerlight.gif,subject03_sad.gif,0.7728274927694119
subject01_centerlight.gif,subject03_sleepy.gif,0.7700339915795743
subject01_centerlight.gif,subject03_surprised.gif,0.771218199459514
subject01_centerlight.gif,subject03_wink.gif,0.7723770390853749
subject01_centerlight.gif,subject04_centerlight.gif,0.777709961854203
subject01_centerlight.gif,subject04_glasses.gif,0.7533835067196041
subject01_centerlight.gif,subject04_happy.gif,0.7470296623453805
subject01_centerlight.gif,subject04_leftlight.gif,0.7716973859538248
subject01_centerlight.gif,subject04_noglasses.gif,0.7498778313701502
subject01_centerlight.gif,subject04_normal.gif,0.7476302240132564
subject01_centerlight.gif,subject04_rightlight.gif,0.7306919821758627
subject01_centerlight.gif,subject04_sad.gif,0.7476302240132564
subject01_centerlight.gif,subject04_sleepy.gif,0.7519885991674291
subject01_centerlight.gif,subject04_surprised.gif,0.7511777174637742
subject01_centerlight.gif,subject04_wink.gif,0.753837646967628
subject01_centerlight.gif,subject05_centerlight.gif,0.7649877249685535
subject01_centerlight.gif,subject05_glasses.gif,0.7499726144429847
subject01_centerlight.gif,subject05_happy.gif,0.7503845927728802
subject01_centerlight.gif,subject05_leftlight.gif,0.7547210495690667
subject01_centerlight.gif,subject05_noglasses.gif,0.7484676565186859
subject01_centerlight.gif,subject05_normal.gif,0.7482258911530548
subject01_centerlight.gif,subject05_rightlight.gif,0.7200380818013525
subject01_centerlight.gif,subject05_sad.gif,0.7456971950217801
subject01_centerlight.gif,subject05_sleepy.gif,0.7472881295658251
subject01_centerlight.gif,subject05_surprised.gif,0.7516223081189765
subject01_centerlight.gif,subject05_wink.gif,0.748081777470781
subject01_centerlight.gif,subject06_centerlight.gif,0.7619529655681136
subject01_centerlight.gif,subject06_glasses.gif,0.7488564451122423
subject01_centerlight.gif,subject06_happy.gif,0.753662236690504
subject01_centerlight.gif,subject06_leftlight.gif,0.7699600493086627
subject01_centerlight.gif,subject06_noglasses.gif,0.7521139022912927
subject01_centerlight.gif,subject06_normal.gif,0.7521139022912927
subject01_centerlight.gif,subject06_rightlight.gif,0.7629853417894393
subject01_centerlight.gif,subject06_sad.gif,0.7485569488935425
subject01_centerlight.gif,subject06_sleepy.gif,0.7514279466749678
subject01_centerlight.gif,subject06_surprised.gif,0.7542791425681693
subject01_centerlight.gif,subject06_wink.gif,0.750388056154382
subject01_centerlight.gif,subject07_centerlight.gif,0.7679628087771426
subject01_centerlight.gif,subject07_glasses.gif,0.7574720637646464
subject01_centerlight.gif,subject07_happy.gif,0.7578989847722841
subject01_centerlight.gif,subject07_leftlight.gif,0.7527460944084825
subject01_centerlight.gif,subject07_noglasses.gif,0.7612143696939937
subject01_centerlight.gif,subject07_normal.gif,0.7612143696939937
subject01_centerlight.gif,subject07_rightlight.gif,0.7536094046231264
subject01_centerlight.gif,subject07_sad.gif,0.761513030552473
subject01_centerlight.gif,subject07_sleepy.gif,0.7629210711943469
subject01_centerlight.gif,subject07_surprised.gif,0.7588886313182274
subject01_centerlight.gif,subject07_wink.gif,0.7580047027341302
subject01_centerlight.gif,subject08_centerlight.gif,0.7656262745674801
subject01_centerlight.gif,subject08_glasses.gif,0.7521777565595447
subject01_centerlight.gif,subject08_happy.gif,0.7408664053353686
subject01_centerlight.gif,subject08_leftlight.gif,0.763950244290737
subject01_centerlight.gif,subject08_noglasses.gif,0.7413081238178935
subject01_centerlight.gif,subject08_normal.gif,0.7521777565595447
subject01_centerlight.gif,subject08_rightlight.gif,0.7364046659001084
subject01_centerlight.gif,subject08_sad.gif,0.7304543481007426
subject01_centerlight.gif,subject08_sleepy.gif,0.7381323152681111
subject01_centerlight.gif,subject08_surprised.gif,0.7383698421382768
subject01_centerlight.gif,subject08_wink.gif,0.7405392981540498
subject01_centerlight.gif,subject09_centerlight.gif,0.7666680679209221
subject01_centerlight.gif,subject09_glasses.gif,0.7474331110565007
subject01_centerlight.gif,subject09_happy.gif,0.7453589101935881
subject01_centerlight.gif,subject09_leftlight.gif,0.7651392434730917
subject01_centerlight.gif,subject09_noglasses.gif,0.7377869234105412
subject01_centerlight.gif,subject09_normal.gif,0.7377869234105412
subject01_centerlight.gif,subject09_rightlight.gif,0.7643492384065018
subject01_centerlight.gif,subject09_sad.gif,0.7423733325442778
subject01_centerlight.gif,subject09_sleepy.gif,0.7453664131308836
subject01_centerlight.gif,subject09_surprised.gif,0.7423076802344998
subject01_centerlight.gif,subject09_wink.gif,0.7459662783170506
subject01_centerlight.gif,subject10_centerlight.gif,0.7746910881425649
subject01_centerlight.gif,subject10_glasses.gif,0.756190238021585
subject01_centerlight.gif,subject10_happy.gif,0.76160085319207
subject01_centerlight.gif,subject10_leftlight.gif,0.7665458449439235
subject01_centerlight.gif,subject10_noglasses.gif,0.7578670912415789
subject01_centerlight.gif,subject10_normal.gif,0.7592224666988626
subject01_centerlight.gif,subject10_rightlight.gif,0.7596853424993386
subject01_centerlight.gif,subject10_sad.gif,0.7617874828269762
subject01_centerlight.gif,subject10_sleepy.gif,0.7567835351793316
subject01_centerlight.gif,subject10_surprised.gif,0.7572426240620943
subject01_centerlight.gif,subject10_wink.gif,0.76128338805886
subject01_centerlight.gif,subject11_centerlight.gif,0.7640070425876758
subject01_centerlight.gif,subject11_glasses.gif,0.7615766781877689
subject01_centerlight.gif,subject11_happy.gif,0.7559086307185418
subject01_centerlight.gif,subject11_leftlight.gif,0.760044142497964
subject01_centerlight.gif,subject11_noglasses.gif,0.7619357883398875
subject01_centerlight.gif,subject11_normal.gif,0.7617508270480287
subject01_centerlight.gif,subject11_rightlight.gif,0.7611553216185956
subject01_centerlight.gif,subject11_sad.gif,0.7559004504384172
subject01_centerlight.gif,subject11_sleepy.gif,0.7565358234506587
subject01_centerlight.gif,subject11_surprised.gif,0.764986032586297
subject01_centerlight.gif,subject11_wink.gif,0.758018579765456
subject01_centerlight.gif,subject12_centerlight.gif,0.7599906459556725
subject01_centerlight.gif,subject12_glasses.gif,0.7441499823999295
subject01_centerlight.gif,subject12_happy.gif,0.7483962047315471
subject01_centerlight.gif,subject12_leftlight.gif,0.7623067806319239
subject01_centerlight.gif,subject12_noglasses.gif,0.7448431873848692
subject01_centerlight.gif,subject12_normal.gif,0.7448431873848692
subject01_centerlight.gif,subject12_rightlight.gif,0.7549474761413708
subject01_centerlight.gif,subject12_sad.gif,0.740602568702623
subject01_centerlight.gif,subject12_sleepy.gif,0.738744487074469
subject01_centerlight.gif,subject12_surprised.gif,0.7384680968207277
subject01_centerlight.gif,subject12_wink.gif,0.7373192262481373
subject01_centerlight.gif,subject13_centerlight.gif,0.7716205022522914
subject01_centerlight.gif,subject13_glasses.gif,0.7618438900731216
subject01_centerlight.gif,subject13_happy.gif,0.7604639291681711
subject01_centerlight.gif,subject13_leftlight.gif,0.7604864401172453
subject01_centerlight.gif,subject13_noglasses.gif,0.7656457724939764
subject01_centerlight.gif,subject13_normal.gif,0.7594769806230562
subject01_centerlight.gif,subject13_rightlight.gif,0.7497285539779837
subject01_centerlight.gif,subject13_sad.gif,0.7598796493715952
subject01_centerlight.gif,subject13_sleepy.gif,0.7606173657634497
subject01_centerlight.gif,subject13_surprised.gif,0.7609201319582602
subject01_centerlight.gif,subject13_wink.gif,0.7633774996311511
subject01_centerlight.gif,subject14_centerlight.gif,0.7710193920337459
subject01_centerlight.gif,subject14_glasses.gif,0.7524270599772712
subject01_centerlight.gif,subject14_happy.gif,0.7603232091627474
subject01_centerlight.gif,subject14_leftlight.gif,0.7578938495340741
subject01_centerlight.gif,subject14_noglasses.gif,0.7566143290047876
